strategy,source,fair_same_substrate,content,network,users,seed,key,U,Rq,Ro,Rb,decoded_completion,B_shared,B_unicast,stall_last,p99_delay_ms,p99_delay_in_contract,duration_s,metric_code
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,151,c148dev_redandblack_fiber_optic_u100_CLUSTERING_COMPONENT_s151,0.6416178095625782,0.6804999922114311,0.9896739031982603,0.09400441042563626,0.8028571428571428,264520712,25616718212,1.0216691279411316,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,152,c148dev_redandblack_fiber_optic_u100_MD2G_COMPONENT_s152,0.7943231879153336,0.9312499608460253,0.9896747701294489,0.07896987416429228,0.934,281465544,27259978473,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,152,c148dev_redandblack_fiber_optic_u100_HV3_COMPONENT_s152,0.5104914098501233,0.4499999870843563,0.9880752187358407,0.04351591389633789,0.58,149424337,12530572569,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,152,c148dev_redandblack_fiber_optic_u100_CLUSTERING_COMPONENT_s152,0.6243564221899476,0.6512499898675478,0.9893687179647724,0.09157167481182747,0.7885714285714286,257720399,24241704636,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,153,c148dev_redandblack_fiber_optic_u100_MD2G_COMPONENT_s153,0.7322089979426675,0.8259999627538269,0.9894220208400649,0.07164323279763313,0.87,224544715,21227562619,1.0333768701553345,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,153,c148dev_redandblack_fiber_optic_u100_HV3_COMPONENT_s153,0.4969623726300828,0.4269999861353233,0.9893817474563109,0.043887039434592025,0.7735849056603774,342148138,32222640834,1.0209640836715699,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,153,c148dev_redandblack_fiber_optic_u100_CLUSTERING_COMPONENT_s153,0.6456256726012695,0.6867499832848835,0.9897388730868872,0.09239357094254941,0.8114285714285714,413608062,40308249328,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,20,151,c148mcg_redandblack_4g_u20_MCG_COMPONENT_s151,0.44892422026482476,0.3724999950698075,0.9468406948142366,0.07523966987079285,0.9642857142857143,115600776,2174610364,5.103200769424438,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,20,152,c148mcg_redandblack_4g_u20_MCG_COMPONENT_s152,0.47193996418323575,0.40999999467749976,0.9493903744132978,0.07605084151059027,1.0,154569962,3054161342,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,20,153,c148mcg_redandblack_4g_u20_MCG_COMPONENT_s153,0.48179482347128777,0.42749999365933805,0.946465726261753,0.07547736193168847,0.9696969696969697,156435287,2922152036,5.103240954875946,,False,120,command148_canary_metrics.cell_metrics
