block,content,network,users,seed,MD2G_U,MD2G_Rq,MD2G_Ro,MD2G_Rb,MD2G_weak_user_Rq,strongest_same,strongest_same_U,delta_U,unicast_U
redandblack_default_mix_u100_s151,redandblack,default_mix,100,151,0.7677465527952269,0.8909999695812088,0.9893462712417388,0.09459997842622078,0.29999999749843875,CLUSTERING_COMPONENT,0.656733658116929,0.11101289467829789,0.1026889561550612
redandblack_default_mix_u100_s152,redandblack,default_mix,100,152,0.7652961239196616,0.8854999796104542,0.9892286669914493,0.08874020396315511,0.29999999749843875,CLUSTERING_COMPONENT,0.6378992449107677,0.12739687900889396,0.11330094526207178
redandblack_default_mix_u100_s153,redandblack,default_mix,100,153,0.7690399094081359,0.890249959883519,0.9893165738287955,0.08292806652782882,0.29999999749843875,CLUSTERING_COMPONENT,0.6412654666384429,0.12777444276969308,0.10144757210017073
redandblack_default_mix_u20_s151,redandblack,default_mix,20,151,0.5246532032649189,0.48999998085424723,0.9490474623910005,0.04405767230253018,0.29999999749843875,RULE_COMPONENT,0.6920407254812844,-0.16738752221636544,0.31470398302090336
redandblack_default_mix_u20_s152,redandblack,default_mix,20,152,0.5154176291997015,0.4749999809793253,0.9483887686945681,0.0445303437435721,0.0,RULE_COMPONENT,0.6846678109533492,-0.1692501817536477,0.36272490397372714
redandblack_default_mix_u20_s153,redandblack,default_mix,20,153,0.7192137475906757,0.8349999692079059,0.9408032605618747,0.11324699383024261,0.29999999749843875,RULE_COMPONENT,0.650340930008934,0.06887281758174169,0.3770515659799983
redandblack_default_mix_u60_s151,redandblack,default_mix,60,151,0.760385266538412,0.8849999883933298,0.9826766990583434,0.10855934174781132,0.49999997997823714,CLUSTERING_COMPONENT,0.6908507572094954,0.06953450932891658,0.13584594424414492
redandblack_default_mix_u60_s152,redandblack,default_mix,60,152,0.778950047091397,0.9158333215766569,0.9831016818043252,0.10883577537118932,0.49999997997823714,CLUSTERING_COMPONENT,0.675475220300384,0.10347482679101305,0.13901914263253118
redandblack_default_mix_u60_s153,redandblack,default_mix,60,153,0.7785613448361518,0.9145833077577219,0.9828906035788608,0.10607527142131029,0.42499971067930387,CLUSTERING_COMPONENT,0.6948815630191917,0.08367978181696012,0.1413932782176568
redandblack_fiber_optic_u100_s151,redandblack,fiber_optic,100,151,0.7765091733188615,0.9042499658349834,0.9896255049556469,0.08964788280693511,0.29999999749843875,CLUSTERING_COMPONENT,0.6416178095625782,0.1348913637562833,0.10595170592026974
