strategy,source,content,network,users,seed,U_Rb0,U,Rq,Ro,Rb_matched_live_md2g,decoded_completion,bandwidth_mbps_shared,p99_delay_ms,n_ticks
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,151,0.6557184711264237,0.6416178095625782,0.6804999922114311,0.9896739031982603,0.09400441042563626,0.6804999922114311,17.634714133333333,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,151,0.17459999854409136,0.10595170592026974,0.2909999975734856,0.0,0.45765528415881085,0.2909999975734856,293.65737966666666,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,152,0.8061686690399774,0.7943231879153336,0.9312499608460253,0.9896747701294489,0.07896987416429228,0.9312499608460253,18.7643696,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,152,0.517018796934574,0.5104914098501233,0.4499999870843563,0.9880752187358407,0.04351591389633789,0.4499999870843563,9.961622466666666,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,152,0.6380921734117218,0.6243564221899476,0.6512499898675478,0.9893687179647724,0.09157167481182747,0.6512499898675478,17.181359933333333,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,152,0.176399998529082,0.10810719213480946,0.29399999754847,0.0,0.455285375961817,0.29399999754847,270.2206397333333,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,153,0.7429554828623124,0.7322089979426675,0.8259999627538269,0.9894220208400649,0.07164323279763313,0.8259999627538269,14.969647666666667,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,153,0.5035454285452716,0.4969623726300828,0.4269999861353233,0.9893817474563109,0.043887039434592025,0.4269999861353233,22.809875866666665,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,153,0.6594847082426518,0.6456256726012695,0.6867499832848835,0.9897388730868872,0.09239357094254941,0.6867499832848835,27.5738708,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,153,0.176399998529082,0.10577514415404192,0.29399999754847,0.0,0.4708323625002672,0.29399999754847,308.8401530666667,,
